日期,門市,業務員,產品類別,銷售數量,單價,折扣,客戶評分,是否會員,地區
2026-06-13,台中新光店,陳美玲,食品禮盒,7,6410,0.07,5,TRUE,中區
2026-08-18,台中新光店,李大華,3C 家電,20,9550,0.20,2,TRUE,南區
2026-06-02,高雄漢神店,劉俊傑,美妝保養,16,2020,0.06,1,TRUE,東區
2026-06-26,台北旗艦店,王小明,服飾配件,1,830,NA,2,FALSE,南區
2026-08-17,N/A,劉俊傑,3C 家電,10,1510,NA,,FALSE,北區
2026-04-07,高雄漢神店,林淑芬,3C 家電,19,7680,0.28,1,FALSE,中區
2026-01-26,台中新光店,李大華,3C 家電,7,4630,0.04,,TRUE,中區
2026-08-07,台北車站店,林淑芬,美妝保養,9,7360,NA,2,TRUE,東區
2026-05-26,桃園機場店,張雅婷,食品禮盒,18,9500,0.23,,TRUE,中區
2026-07-03,台中新光店,王小明,3C 家電,20,4950,0.24,,FALSE,南區
2026-03-17,台北車站店,劉俊傑,3C 家電,9,7740,0.13,3,TRUE,南區
2026-05-16,桃園機場店,陳美玲,3C 家電,12,6440,0.28,,TRUE,未知
2026-05-24,台中新光店,陳美玲,美妝保養,8,9970,0.17,4,TRUE,東區
2026-03-14,台北旗艦店,林淑芬,食品禮盒,11,7520,0.19,1,TRUE,北區
2026-06-28,桃園機場店,李大華,服飾配件,10,6020,0.01,1,FALSE,南區
2026-01-08,台北旗艦店,張雅婷,美妝保養,10,7130,0.25,2,TRUE,南區
2026-06-19,台北車站店,張雅婷,生活用品,3,9180,0.03,5,TRUE,北區
2026-06-24,台北車站店,張雅婷,生活用品,12,7600,NA,4,FALSE,未知
2026-02-24,台北車站店,林淑芬,生活用品,13,9330,0.05,4,TRUE,北區
2026-05-22,桃園機場店,王小明,食品禮盒,3,9110,0.06,1,FALSE,南區
2026-01-07,高雄漢神店,林淑芬,服飾配件,14,3450,NA,5,TRUE,東區
2026-01-27,台中新光店,張雅婷,生活用品,9,9060,NA,5,FALSE,未知
2026-03-21,台北車站店,王小明,生活用品,4,3560,0.11,1,TRUE,中區
2026-08-27,台北旗艦店,李大華,食品禮盒,10,790,0.08,2,FALSE,東區
2026-01-02,台北車站店,王小明,生活用品,4,8890,0.04,,FALSE,中區
2026-06-23,台北車站店,林淑芬,生活用品,18,7500,0.06,5,TRUE,中區
2026-05-12,桃園機場店,林淑芬,食品禮盒,16,5100,0.14,5,TRUE,北區
2026-03-09,桃園機場店,李大華,生活用品,13,3460,0.22,2,TRUE,南區
2026-08-07,高雄漢神店,劉俊傑,美妝保養,3,560,0.22,2,TRUE,東區
2026-01-04,桃園機場店,劉俊傑,服飾配件,8,4320,0.21,4,FALSE,中區
2026-03-24,桃園機場店,王小明,服飾配件,10,7610,0.15,5,TRUE,東區
2026-01-01,高雄漢神店,李大華,3C 家電,7,770,0.29,,FALSE,東區
2026-08-15,桃園機場店,陳美玲,服飾配件,15,770,0.12,,TRUE,南區
2026-02-25,台中新光店,張雅婷,3C 家電,17,770,0.05,4,TRUE,北區
2026-08-16,桃園機場店,陳美玲,服飾配件,16,7010,0.26,,TRUE,中區
2026-05-26,台中新光店,劉俊傑,3C 家電,6,7440,0.20,3,TRUE,中區
2026-05-20,N/A,陳美玲,美妝保養,16,7780,NA,,FALSE,中區
2026-05-14,桃園機場店,王小明,生活用品,18,2200,0.28,,TRUE,南區
2026-02-23,桃園機場店,陳美玲,食品禮盒,15,380,0.28,1,FALSE,東區
2026-01-21,台中新光店,張雅婷,美妝保養,5,1190,0.00,4,FALSE,未知
2026-03-12,台北車站店,張雅婷,食品禮盒,20,8540,0.18,,FALSE,中區
2026-05-27,高雄漢神店,劉俊傑,生活用品,20,5000,0.20,3,TRUE,中區
2026-04-16,桃園機場店,李大華,美妝保養,1,630,NA,2,FALSE,中區
2026-02-24,台北車站店,張雅婷,3C 家電,19,1160,0.03,2,FALSE,東區
2026-06-29,台北車站店,劉俊傑,食品禮盒,2,6650,0.10,4,TRUE,未知
2026-06-26,桃園機場店,林淑芬,食品禮盒,11,6120,0.08,1,FALSE,北區
2026-07-06,台北車站店,李大華,3C 家電,18,4560,0.15,,FALSE,中區
2026-03-12,高雄漢神店,劉俊傑,美妝保養,10,630,0.11,2,FALSE,北區
2026-02-19,桃園機場店,李大華,食品禮盒,5,2170,0.10,2,FALSE,中區
2026-06-01,台北車站店,林淑芬,3C 家電,4,3930,0.07,,TRUE,東區
2026-04-11,台北車站店,林淑芬,生活用品,2,2750,0.25,2,FALSE,北區
2026-05-19,高雄漢神店,林淑芬,生活用品,6,5700,0.25,,TRUE,北區
2026-08-27,台中新光店,陳美玲,服飾配件,14,6800,NA,5,TRUE,北區
2026-03-12,台中新光店,陳美玲,服飾配件,11,8840,0.24,4,TRUE,北區
2026-07-23,台北車站店,王小明,服飾配件,10,3770,NA,2,FALSE,東區
2026-08-21,台北車站店,李大華,食品禮盒,15,2980,NA,,TRUE,北區
2026-01-01,台北車站店,張雅婷,食品禮盒,19,7640,0.09,4,TRUE,南區
2026-03-04,台中新光店,林淑芬,服飾配件,1,320,0.23,3,TRUE,南區
2026-07-19,台中新光店,劉俊傑,食品禮盒,18,4370,0.10,1,TRUE,北區
2026-07-12,台北車站店,陳美玲,3C 家電,4,870,NA,3,FALSE,未知
2026-07-22,桃園機場店,王小明,3C 家電,19,1280,0.00,,TRUE,北區
2026-02-15,台中新光店,陳美玲,生活用品,10,4790,0.28,3,TRUE,南區
2026-07-21,台北旗艦店,王小明,美妝保養,8,9810,0.26,,TRUE,南區
2026-06-17,台中新光店,李大華,美妝保養,16,3010,0.28,2,FALSE,南區
2026-04-15,台北車站店,李大華,美妝保養,15,6150,0.28,1,TRUE,中區
2026-05-13,桃園機場店,王小明,生活用品,18,9850,0.24,,FALSE,東區
2026-06-23,高雄漢神店,劉俊傑,美妝保養,7,8690,NA,4,TRUE,南區
2026-03-02,台北旗艦店,林淑芬,美妝保養,1,2840,0.16,,FALSE,南區
2026-08-12,台北旗艦店,王小明,生活用品,6,4050,0.04,,FALSE,中區
2026-05-04,台中新光店,王小明,3C 家電,3,3910,0.24,4,TRUE,東區
2026-06-23,台北旗艦店,林淑芬,生活用品,15,8250,0.17,1,TRUE,南區
2026-07-12,桃園機場店,劉俊傑,美妝保養,20,9260,NA,,FALSE,東區
2026-08-03,桃園機場店,王小明,美妝保養,3,1510,0.13,1,TRUE,中區
2026-07-15,台北旗艦店,林淑芬,3C 家電,19,4180,0.20,5,TRUE,中區
2026-01-19,桃園機場店,陳美玲,食品禮盒,3,8000,NA,4,TRUE,南區
2026-07-13,台北旗艦店,王小明,生活用品,16,2130,0.09,1,TRUE,未知
2026-07-24,桃園機場店,李大華,3C 家電,1,4160,0.23,,TRUE,北區
2026-01-21,高雄漢神店,陳美玲,美妝保養,19,9310,0.26,1,FALSE,東區
2026-07-18,高雄漢神店,張雅婷,3C 家電,18,3710,NA,4,FALSE,南區
2026-05-30,台中新光店,劉俊傑,生活用品,7,4010,0.20,2,TRUE,北區
2026-02-05,台北旗艦店,劉俊傑,食品禮盒,13,500,NA,1,TRUE,中區
2026-07-05,台北旗艦店,張雅婷,生活用品,8,9850,0.25,1,FALSE,中區
2026-02-13,桃園機場店,李大華,食品禮盒,14,4260,0.02,2,TRUE,中區
2026-08-10,台北旗艦店,陳美玲,生活用品,6,9030,0.15,2,TRUE,南區
2026-06-21,台北車站店,林淑芬,3C 家電,14,1890,0.29,,TRUE,東區
2026-04-28,台北旗艦店,劉俊傑,服飾配件,1,1850,0.15,1,FALSE,中區
2026-05-09,桃園機場店,劉俊傑,食品禮盒,8,8520,0.25,5,FALSE,中區
2026-08-06,台北旗艦店,王小明,3C 家電,15,8020,0.23,4,TRUE,中區
2026-03-05,台中新光店,林淑芬,食品禮盒,18,1410,0.03,2,FALSE,北區
2026-03-06,台中新光店,李大華,3C 家電,19,3120,0.08,4,TRUE,東區
2026-02-12,高雄漢神店,張雅婷,生活用品,2,2280,0.18,,FALSE,未知
2026-04-05,台中新光店,張雅婷,生活用品,7,9460,0.23,5,TRUE,南區
2026-05-03,高雄漢神店,張雅婷,美妝保養,9,4610,0.06,3,FALSE,北區
2026-06-28,台中新光店,張雅婷,3C 家電,2,3540,0.13,3,TRUE,東區
2026-05-30,台北車站店,劉俊傑,美妝保養,20,580,0.23,5,FALSE,北區
2026-07-01,台中新光店,張雅婷,生活用品,14,6410,0.19,1,TRUE,南區
2026-06-21,桃園機場店,李大華,3C 家電,17,7030,0.22,,TRUE,未知
2026-01-16,台北車站店,劉俊傑,3C 家電,13,8820,0.19,4,TRUE,東區
2026-07-17,高雄漢神店,李大華,3C 家電,1,6470,0.09,,TRUE,南區
2026-04-07,高雄漢神店,林淑芬,服飾配件,19,4980,0.06,,TRUE,中區
2026-04-02,台北車站店,陳美玲,美妝保養,10,9870,NA,,FALSE,南區
2026-06-03,台中新光店,王小明,服飾配件,13,300,0.02,5,TRUE,南區
2026-08-08,桃園機場店,林淑芬,服飾配件,17,6830,0.14,1,TRUE,南區
2026-05-04,桃園機場店,陳美玲,3C 家電,19,2210,0.02,1,TRUE,東區
2026-04-25,高雄漢神店,劉俊傑,生活用品,20,6880,NA,5,TRUE,中區
2026-05-09,桃園機場店,劉俊傑,服飾配件,15,9000,0.18,,TRUE,南區
2026-01-19,台北旗艦店,李大華,服飾配件,9,3100,0.19,3,TRUE,南區
2026-04-22,台北旗艦店,陳美玲,生活用品,10,6250,NA,5,TRUE,北區
2026-05-25,台中新光店,李大華,美妝保養,4,9450,0.16,5,TRUE,南區
2026-02-28,高雄漢神店,劉俊傑,美妝保養,5,3560,0.16,4,TRUE,北區
2026-06-22,台北車站店,陳美玲,食品禮盒,6,6510,0.09,,FALSE,北區
2026-06-15,桃園機場店,劉俊傑,生活用品,15,7260,0.01,2,TRUE,南區
2026-06-08,桃園機場店,劉俊傑,服飾配件,8,5670,NA,2,FALSE,南區
2026-07-05,桃園機場店,王小明,服飾配件,16,1490,NA,3,FALSE,南區
2026-06-04,台北旗艦店,王小明,美妝保養,18,3130,0.22,,TRUE,中區
2026-08-15,台北車站店,張雅婷,美妝保養,4,470,NA,,TRUE,南區
2026-04-24,N/A,李大華,服飾配件,15,4960,0.07,,TRUE,中區
2026-08-04,台北旗艦店,林淑芬,3C 家電,10,7710,0.16,4,TRUE,中區
2026-01-30,台北旗艦店,李大華,服飾配件,20,7420,0.17,4,FALSE,東區
2026-03-20,台北車站店,李大華,3C 家電,8,8200,0.16,5,TRUE,南區
2026-07-06,高雄漢神店,王小明,美妝保養,8,4500,0.09,1,FALSE,東區
2026-06-07,高雄漢神店,王小明,服飾配件,16,9540,0.15,5,TRUE,東區
2026-03-31,桃園機場店,陳美玲,生活用品,13,7960,0.09,,TRUE,中區
2026-08-11,桃園機場店,劉俊傑,服飾配件,17,9930,0.13,3,FALSE,北區
2026-06-13,台北旗艦店,劉俊傑,服飾配件,9,6630,0.02,4,FALSE,中區
2026-08-04,台北車站店,林淑芬,服飾配件,5,3180,0.25,,FALSE,北區
2026-06-13,高雄漢神店,李大華,美妝保養,3,6200,0.02,3,FALSE,中區
2026-04-26,高雄漢神店,陳美玲,美妝保養,20,6140,0.10,5,TRUE,北區
2026-05-26,台中新光店,李大華,美妝保養,2,1720,0.04,4,TRUE,未知
2026-02-19,台北車站店,王小明,服飾配件,18,2660,NA,4,FALSE,東區
2026-02-25,台中新光店,李大華,食品禮盒,15,4640,NA,2,TRUE,東區
2026-04-18,台北旗艦店,林淑芬,3C 家電,15,4650,0.26,5,TRUE,南區
2026-01-26,台北旗艦店,陳美玲,美妝保養,16,7820,0.25,4,TRUE,未知
2026-08-02,台北車站店,陳美玲,生活用品,2,990,0.04,1,TRUE,北區
2026-06-25,桃園機場店,劉俊傑,3C 家電,2,9620,0.29,,FALSE,北區
2026-04-26,N/A,陳美玲,3C 家電,1,2040,0.22,,FALSE,東區
2026-06-14,高雄漢神店,張雅婷,食品禮盒,18,4770,0.27,2,TRUE,中區
2026-08-11,台北車站店,李大華,生活用品,3,7810,0.18,2,FALSE,東區
2026-06-07,N/A,林淑芬,美妝保養,2,5280,0.06,1,FALSE,北區
2026-08-09,台北旗艦店,陳美玲,食品禮盒,3,5930,0.03,2,FALSE,東區
2026-06-14,台北旗艦店,陳美玲,生活用品,11,1480,0.08,2,TRUE,北區
2026-07-31,台北車站店,王小明,服飾配件,6,7870,0.30,3,TRUE,東區
2026-08-20,台北車站店,林淑芬,美妝保養,2,610,0.10,3,TRUE,中區
2026-02-08,高雄漢神店,林淑芬,3C 家電,3,5420,0.14,1,FALSE,中區
2026-04-23,桃園機場店,李大華,食品禮盒,15,6030,0.18,3,FALSE,南區
2026-01-27,高雄漢神店,劉俊傑,食品禮盒,3,2400,0.24,5,FALSE,未知
2026-02-22,桃園機場店,林淑芬,美妝保養,10,8960,0.07,3,TRUE,中區
2026-06-17,台中新光店,李大華,服飾配件,18,3760,NA,3,TRUE,北區
2026-07-15,桃園機場店,李大華,生活用品,16,6740,0.15,1,TRUE,未知
2026-01-02,桃園機場店,王小明,食品禮盒,11,2200,0.29,2,FALSE,未知
2026-08-13,桃園機場店,張雅婷,美妝保養,10,8470,NA,,FALSE,中區
2026-06-16,台中新光店,王小明,服飾配件,10,6750,0.28,3,TRUE,中區
2026-07-03,桃園機場店,李大華,美妝保養,16,1940,0.04,3,TRUE,北區
2026-08-28,桃園機場店,劉俊傑,食品禮盒,3,1670,0.14,4,FALSE,北區
2026-03-17,台中新光店,林淑芬,生活用品,14,320,0.10,5,TRUE,南區
2026-03-24,台中新光店,王小明,服飾配件,15,5730,0.27,2,TRUE,東區
2026-07-03,桃園機場店,劉俊傑,美妝保養,6,5760,NA,3,FALSE,北區
2026-05-14,桃園機場店,李大華,食品禮盒,7,4610,0.14,,FALSE,南區
2026-07-08,台中新光店,林淑芬,食品禮盒,14,2150,0.17,,FALSE,中區
2026-04-20,高雄漢神店,林淑芬,生活用品,10,6140,0.08,5,TRUE,東區
2026-06-22,桃園機場店,林淑芬,食品禮盒,17,4360,0.06,,FALSE,北區
2026-08-01,台中新光店,林淑芬,美妝保養,9,7050,0.16,3,TRUE,中區
2026-06-06,台中新光店,林淑芬,服飾配件,13,5010,NA,1,TRUE,東區
2026-07-26,台北旗艦店,劉俊傑,食品禮盒,1,1750,0.22,1,TRUE,南區
2026-03-13,桃園機場店,陳美玲,3C 家電,15,9530,0.26,,FALSE,東區
2026-04-07,台北車站店,林淑芬,美妝保養,7,5530,0.03,5,FALSE,北區
2026-08-03,高雄漢神店,陳美玲,3C 家電,18,4810,0.01,,FALSE,東區
2026-06-06,N/A,王小明,食品禮盒,17,4640,0.23,3,TRUE,北區
2026-02-16,台中新光店,林淑芬,3C 家電,2,4660,0.12,,TRUE,北區
2026-04-29,台北車站店,李大華,生活用品,8,3380,0.28,2,TRUE,北區
2026-01-05,台中新光店,李大華,食品禮盒,8,7100,0.15,4,FALSE,北區
2026-03-01,台北車站店,陳美玲,食品禮盒,12,9800,0.20,,TRUE,北區
2026-08-21,台北車站店,李大華,服飾配件,8,9720,0.10,3,TRUE,未知
2026-08-08,台北旗艦店,張雅婷,食品禮盒,11,1570,0.23,5,FALSE,北區
2026-01-07,台中新光店,陳美玲,3C 家電,1,330,0.25,5,TRUE,北區
2026-07-11,台北車站店,王小明,美妝保養,1,8900,0.26,4,TRUE,中區
2026-03-24,台北車站店,王小明,美妝保養,18,5790,0.11,5,FALSE,東區
2026-08-05,桃園機場店,陳美玲,美妝保養,11,6410,0.27,1,FALSE,南區
2026-03-22,台北車站店,陳美玲,食品禮盒,15,2390,0.26,5,FALSE,北區
2026-05-30,桃園機場店,王小明,生活用品,8,8010,NA,2,FALSE,南區
2026-04-26,台北旗艦店,李大華,服飾配件,13,9620,0.04,3,FALSE,北區
2026-02-16,高雄漢神店,劉俊傑,食品禮盒,10,6550,0.05,3,TRUE,東區
2026-02-09,高雄漢神店,林淑芬,美妝保養,8,8370,0.23,4,TRUE,中區
2026-07-21,台北旗艦店,張雅婷,食品禮盒,11,6780,0.04,5,TRUE,未知
2026-06-16,台中新光店,王小明,生活用品,3,820,0.19,1,TRUE,北區
2026-07-10,台北旗艦店,張雅婷,美妝保養,20,7310,0.03,,TRUE,中區
2026-07-21,台北旗艦店,張雅婷,美妝保養,11,5200,0.28,,FALSE,北區
2026-01-25,桃園機場店,劉俊傑,食品禮盒,19,2940,NA,5,TRUE,未知
2026-03-26,台北車站店,林淑芬,3C 家電,4,5530,NA,2,FALSE,中區
2026-04-03,台北車站店,王小明,食品禮盒,15,2150,0.29,,TRUE,北區
2026-02-22,台中新光店,劉俊傑,生活用品,4,5630,0.03,2,TRUE,未知
2026-05-31,台北車站店,張雅婷,3C 家電,16,5970,NA,,FALSE,南區
2026-01-13,台北車站店,林淑芬,美妝保養,20,9680,0.08,4,TRUE,中區
2026-08-19,桃園機場店,陳美玲,食品禮盒,19,4720,0.16,3,FALSE,未知
2026-02-05,台中新光店,王小明,食品禮盒,12,2840,0.08,3,FALSE,中區
2026-07-26,高雄漢神店,陳美玲,食品禮盒,9,4850,NA,4,TRUE,南區
2026-06-06,N/A,林淑芬,3C 家電,2,3250,0.15,,FALSE,南區
2026-04-23,台中新光店,李大華,生活用品,13,2880,0.28,3,FALSE,東區
2026-05-26,桃園機場店,林淑芬,食品禮盒,4,9550,0.03,,TRUE,東區
2026-02-21,台北旗艦店,張雅婷,食品禮盒,14,2710,0.29,5,TRUE,東區
2026-06-30,N/A,陳美玲,食品禮盒,6,4620,0.14,3,TRUE,南區
2026-03-16,台中新光店,王小明,3C 家電,2,9470,0.29,3,TRUE,未知
2026-06-18,台北車站店,陳美玲,生活用品,17,9210,0.29,,FALSE,南區
2026-04-15,台北旗艦店,林淑芬,生活用品,4,9730,0.13,,FALSE,東區
2026-06-23,台北旗艦店,李大華,美妝保養,17,4820,0.17,1,TRUE,北區
2026-08-26,台北旗艦店,陳美玲,生活用品,14,9440,0.07,4,TRUE,北區
2026-01-10,桃園機場店,劉俊傑,生活用品,9,9380,0.02,3,TRUE,南區
2026-07-17,高雄漢神店,王小明,服飾配件,4,4180,0.10,5,TRUE,南區
2026-01-01,桃園機場店,陳美玲,食品禮盒,16,5370,NA,2,FALSE,中區
2026-01-30,台北車站店,李大華,食品禮盒,1,3760,0.04,3,TRUE,東區
2026-05-13,高雄漢神店,林淑芬,服飾配件,8,4370,NA,,FALSE,東區
2026-07-16,台中新光店,王小明,生活用品,3,8340,0.10,1,TRUE,北區
2026-02-22,高雄漢神店,王小明,食品禮盒,12,5320,NA,5,FALSE,東區
2026-08-06,台中新光店,林淑芬,食品禮盒,13,6080,0.04,4,FALSE,中區
2026-07-26,台北車站店,王小明,食品禮盒,16,9540,NA,1,TRUE,北區
2026-01-30,台北車站店,劉俊傑,生活用品,2,2450,NA,5,FALSE,東區
2026-08-26,N/A,林淑芬,生活用品,14,8300,NA,3,TRUE,南區
2026-01-10,台北旗艦店,陳美玲,3C 家電,13,8730,NA,,TRUE,南區
2026-01-10,台中新光店,張雅婷,服飾配件,5,7820,0.08,3,FALSE,南區
2026-04-18,台中新光店,陳美玲,食品禮盒,20,5740,0.05,,FALSE,中區
2026-08-13,台北旗艦店,林淑芬,美妝保養,8,7710,0.02,3,TRUE,南區
2026-02-15,高雄漢神店,劉俊傑,食品禮盒,8,4980,0.12,,TRUE,南區
2026-07-27,台北車站店,林淑芬,美妝保養,8,3350,0.29,1,FALSE,北區
2026-05-31,台北旗艦店,王小明,食品禮盒,18,4740,0.24,2,FALSE,東區
2026-07-07,台中新光店,張雅婷,生活用品,1,5780,0.17,3,FALSE,東區
2026-05-13,台中新光店,李大華,美妝保養,12,6300,0.12,5,TRUE,東區
2026-08-07,台北旗艦店,陳美玲,食品禮盒,4,6270,0.17,4,FALSE,北區
2026-06-18,台北車站店,劉俊傑,生活用品,4,1150,NA,,FALSE,中區
2026-04-19,高雄漢神店,王小明,美妝保養,4,5910,0.08,1,TRUE,北區
2026-06-01,桃園機場店,林淑芬,服飾配件,11,1790,0.09,4,TRUE,中區
2026-08-15,台北車站店,王小明,美妝保養,3,2940,0.27,5,TRUE,南區
2026-08-28,高雄漢神店,陳美玲,3C 家電,18,8800,NA,,TRUE,南區
2026-01-03,台中新光店,王小明,3C 家電,18,1520,0.26,1,FALSE,東區
2026-02-18,台中新光店,陳美玲,食品禮盒,1,690,0.04,2,TRUE,中區
2026-07-14,台北旗艦店,林淑芬,美妝保養,9,3950,NA,,TRUE,東區
2026-01-10,桃園機場店,張雅婷,食品禮盒,8,7210,0.04,,FALSE,北區
2026-07-24,N/A,王小明,食品禮盒,14,8510,0.03,4,TRUE,中區
2026-05-06,台北車站店,王小明,3C 家電,16,2970,0.19,,FALSE,中區
2026-04-30,高雄漢神店,張雅婷,3C 家電,13,8770,0.05,4,FALSE,南區
2026-04-22,台北旗艦店,王小明,生活用品,20,9560,0.29,5,FALSE,北區
2026-05-14,桃園機場店,李大華,食品禮盒,14,9360,0.28,1,TRUE,未知
2026-06-28,台北旗艦店,陳美玲,食品禮盒,13,4200,0.18,5,FALSE,北區
2026-08-02,台北旗艦店,陳美玲,服飾配件,4,7560,0.07,2,FALSE,北區
2026-02-01,台北車站店,陳美玲,美妝保養,3,3040,0.28,4,TRUE,北區
2026-04-08,台北旗艦店,劉俊傑,服飾配件,2,4010,NA,4,TRUE,北區
2026-04-25,台北車站店,陳美玲,3C 家電,4,6220,0.01,,TRUE,未知
2026-04-20,桃園機場店,林淑芬,服飾配件,3,2430,0.03,1,FALSE,中區
2026-02-06,台北車站店,李大華,服飾配件,7,3400,0.15,2,FALSE,東區
2026-01-02,台北旗艦店,劉俊傑,食品禮盒,2,3220,0.13,2,FALSE,南區
2026-03-29,台北車站店,張雅婷,美妝保養,18,9700,0.09,4,TRUE,東區
2026-02-20,高雄漢神店,張雅婷,美妝保養,10,1900,0.03,4,TRUE,南區
2026-02-10,台北車站店,李大華,食品禮盒,17,7490,0.13,2,TRUE,北區
2026-02-26,台中新光店,陳美玲,生活用品,20,620,0.09,,TRUE,北區
2026-03-06,桃園機場店,劉俊傑,3C 家電,8,3680,0.05,,FALSE,南區
2026-07-25,台北車站店,劉俊傑,3C 家電,5,8890,0.09,2,FALSE,東區
2026-01-26,高雄漢神店,李大華,食品禮盒,18,5780,0.26,5,TRUE,南區
2026-07-17,台北車站店,王小明,服飾配件,19,3220,NA,1,TRUE,未知
2026-02-20,桃園機場店,林淑芬,服飾配件,7,9900,0.11,,FALSE,北區
2026-05-06,台北車站店,陳美玲,服飾配件,13,3530,0.10,,TRUE,中區
2026-05-13,台北車站店,李大華,3C 家電,14,830,NA,1,FALSE,未知
2026-08-11,桃園機場店,劉俊傑,3C 家電,10,3470,0.07,5,FALSE,北區
2026-05-31,台北車站店,劉俊傑,食品禮盒,5,8250,0.07,,TRUE,北區
2026-05-04,高雄漢神店,陳美玲,生活用品,20,4690,NA,1,FALSE,中區
2026-02-20,桃園機場店,張雅婷,生活用品,13,9170,0.14,,FALSE,中區
2026-01-22,台中新光店,陳美玲,生活用品,9,3750,0.04,,FALSE,南區
2026-06-20,台北車站店,李大華,服飾配件,14,500,0.03,4,TRUE,未知
2026-03-30,高雄漢神店,陳美玲,食品禮盒,12,6800,NA,,TRUE,未知
2026-02-01,台北旗艦店,李大華,生活用品,12,9130,0.19,4,FALSE,東區
2026-05-08,高雄漢神店,劉俊傑,食品禮盒,7,3340,0.28,5,TRUE,北區
2026-06-15,N/A,陳美玲,食品禮盒,18,6180,0.08,3,TRUE,東區
2026-05-20,桃園機場店,陳美玲,服飾配件,4,5390,NA,1,TRUE,北區
2026-07-03,台北旗艦店,林淑芬,3C 家電,11,8790,0.04,1,TRUE,東區
2026-08-24,台中新光店,王小明,食品禮盒,9,5540,0.16,,TRUE,中區
2026-03-03,台北旗艦店,劉俊傑,3C 家電,3,9060,NA,,TRUE,中區
2026-07-15,桃園機場店,王小明,3C 家電,4,1130,0.02,,FALSE,北區
2026-06-18,台中新光店,李大華,生活用品,8,1430,0.29,3,TRUE,東區
2026-03-27,台北旗艦店,李大華,生活用品,6,4530,0.26,5,FALSE,中區
2026-02-14,N/A,林淑芬,美妝保養,15,2360,0.08,4,TRUE,中區
2026-03-23,桃園機場店,林淑芬,服飾配件,8,600,0.22,3,TRUE,南區
2026-06-24,台中新光店,林淑芬,生活用品,12,9190,0.06,1,TRUE,南區
2026-08-08,台中新光店,張雅婷,食品禮盒,4,7370,0.04,,TRUE,南區
2026-06-25,台北車站店,林淑芬,食品禮盒,6,9190,0.21,,TRUE,中區
2026-07-31,高雄漢神店,王小明,美妝保養,9,2310,0.25,4,TRUE,東區
